word,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
madder,0.773,0,0,0,0,0,0,0
horrific,0.773,0,0.789,0.969,0,0.844,0,0
revulsion,0.773,0,0.766,0.516,0,0,0,0
retaliate,0.773,0,0,0,0,0,0,0
scorn,0.769,0,0,0,0,0,0,0
bomb,0.766,0,0,0.935,0,0.621,0.789,0
deplorable,0.766,0,0.516,0.609,0,0.750,0,0
devastation,0.765,0,0,0.906,0,0.917,0.703,0
anarchist,0.765,0,0,0.750,0,0,0,0
firestorm,0.765,0,0,0,0,0,0,0
resent,0.765,0,0,0,0,0,0,0
contemptible,0.764,0,0.625,0,0,0,0,0
shittest,0.760,0,0,0,0,0,0,0
rant,0.758,0,0,0,0,0,0,0
cruel,0.758,0,0.766,0.656,0,0.609,0,0
deadly,0.758,0,0.664,0.875,0,0.898,0,0
smash,0.758,0,0,0.656,0,0,0,0
soangry,0.758,0,0,0,0,0,0,0
outburst,0.757,0,0,0.547,0.176,0.531,0.859,0
snarl,0.754,0,0.484,0,0,0,0,0
profane,0.750,0,0,0,0,0,0,0
revolting,0.750,0,0.820,0.625,0,0,0,0
aggravating,0.750,0,0,0,0,0.500,0,0
horror,0.750,0,0.656,0.923,0,0.719,0.742,0
despise,0.750,0,0.570,0,0,0,0,0
offend,0.750,0,0.422,0,0,0,0,0
stfu,0.750,0,0,0,0,0,0,0
vulgarity,0.750,0,0.703,0,0,0.453,0,0
crazed,0.750,0,0,0.656,0,0,0,0
douchebags,0.750,0,0,0,0,0,0,0
growling,0.750,0,0.297,0.547,0,0,0,0
dontmesswithme,0.750,0,0,0,0,0,0,0
screaming,0.742,0,0.500,0.781,0,0,0,0
threat,0.742,0,0,0.604,0,0,0,0
erupt,0.742,0,0,0,0,0,0.789,0
horrible,0.742,0,0.656,0.734,0,0,0,0
molestation,0.742,0,0.914,0.859,0,0.744,0,0
fuckedoff,0.742,0,0,0,0,0,0,0
violence,0.742,0,0,0.812,0,0.712,0,0
bastards,0.741,0,0,0,0,0,0,0
revenge,0.738,0.602,0,0.656,0,0,0.570,0
menacing,0.735,0,0,0.672,0,0,0,0
crushing,0.735,0,0.398,0.672,0,0.609,0,0
damn,0.735,0,0.359,0,0,0,0,0
catastrophe,0.735,0,0.594,0.953,0,0.911,0.836,0
demon,0.735,0,0.742,0.906,0,0.594,0,0
argue,0.734,0,0,0,0,0,0,0
persecute,0.734,0,0,0.672,0,0,0,0
deplore,0.734,0,0.461,0,0,0.576,0,0
flog,0.734,0,0.570,0.653,0,0.562,0,0
fedup,0.734,0,0,0,0,0,0,0
riotous,0.734,0,0,0.750,0,0,0.727,0
vehement,0.734,0,0,0.641,0,0,0,0
revolt,0.734,0,0,0,0,0,0.656,0
warfare,0.734,0,0,0.859,0,0.734,0,0
thrash,0.734,0,0.539,0.562,0,0.344,0,0
altercation,0.729,0,0,0,0,0,0,0
warlike,0.728,0,0,0.781,0,0,0,0
shitday,0.727,0,0,0,0,0,0,0
mutiny,0.727,0,0.484,0.734,0,0,0.648,0
castrate,0.727,0,0,0,0,0,0,0
sabotage,0.727,0,0.609,0.703,0,0.484,0.719,0
malevolent,0.721,0,0.547,0.703,0,0.672,0,0
strike,0.721,0,0,0,0,0,0.695,0
disaster,0.721,0,0.508,0.875,0,0.758,0.812,0
disastrous,0.720,0,0,0.875,0,0.734,0,0
bastarding,0.719,0,0,0,0,0,0,0
treachery,0.719,0,0,0.856,0,0.848,0.633,0
arseholes,0.719,0,0,0,0,0,0,0
horseshit,0.719,0,0,0,0,0,0,0
slay,0.719,0,0,0,0,0,0,0
disdain,0.719,0,0.398,0,0,0,0,0
aggravates,0.719,0,0,0,0,0,0,0
brutal,0.719,0,0,0.828,0,0,0,0
scorching,0.719,0,0,0,0,0,0,0
devil,0.719,0.273,0.664,0.828,0,0.576,0,0
madden,0.719,0,0,0.500,0,0,0,0
spiteful,0.719,0,0,0,0,0,0,0
scream,0.719,0,0.438,0.719,0,0,0.719,0
choke,0.719,0,0,0,0,0.682,0,0
vermin,0.719,0,0.789,0.672,0,0,0,0
tumult,0.719,0,0,0.656,0,0,0.641,0
criminal,0.714,0,0.477,0.766,0,0,0,0
mangle,0.714,0,0.578,0.672,0,0.656,0,0
anarchism,0.714,0,0,0.688,0,0,0,0
mutilation,0.714,0,0.930,0.906,0,0.828,0,0
denunciation,0.713,0,0.422,0.456,0,0,0,0
punch,0.713,0,0,0.580,0,0.391,0.539,0
virulence,0.712,0,0,0.625,0,0,0,0
fatal,0.712,0,0,0.828,0,0.922,0,0
hurting,0.712,0,0,0.672,0,0.625,0,0
crucifixion,0.712,0,0.734,0.891,0,0.859,0,0
dontlikeyou,0.712,0,0,0,0,0,0,0
blasphemous,0.712,0,0.531,0,0,0,0,0
holocaust,0.712,0,0.852,0.906,0,0.953,0,0
dumbasses,0.712,0,0,0,0,0,0,0
battled,0.712,0,0,0.615,0,0.500,0,0
deranged,0.706,0,0.742,0.703,0,0,0,0
irritated,0.706,0,0,0,0,0,0,0
atrocious,0.706,0,0.617,0,0,0,0,0
evil,0.706,0,0.758,0.833,0,0.672,0,0
aggravated,0.703,0,0,0,0,0,0,0
intimidation,0.703,0,0,0.559,0,0,0,0
dicks,0.703,0,0,0,0,0,0,0
assassin,0.703,0,0,0.875,0,0.734,0,0
scolding,0.703,0,0,0,0,0,0,0
persecution,0.703,0,0.625,0.797,0,0.844,0,0
slayer,0.703,0,0.555,0.844,0,0.766,0.500,0
kidnap,0.703,0,0,0.891,0,0.682,0.766,0
aggression,0.702,0,0,0.609,0,0,0,0
armed,0.700,0,0,0.703,0,0,0,0
battle,0.697,0,0,0,0,0,0,0
poison,0.697,0,0.656,0.797,0,0.672,0,0
snarling,0.697,0,0,0,0,0,0,0
venom,0.697,0,0.594,0.804,0,0,0,0
disgruntled,0.693,0,0.406,0,0,0.712,0,0
resentment,0.691,0,0.508,0,0,0.562,0,0
assailant,0.691,0,0,0.703,0,0.536,0,0
insidious,0.691,0,0.773,0.516,0,0,0,0
contemptuous,0.690,0,0,0,0,0,0,0
lynch,0.690,0,0.766,0.719,0,0.773,0,0
temper,0.688,0,0,0,0,0,0,0
terrible,0.688,0,0.562,0.594,0,0.578,0,0
disparage,0.688,0,0.453,0,0,0.672,0,0
lunatic,0.688,0,0.594,0.656,0,0,0,0
bully,0.688,0,0,0.656,0,0.578,0,0
mad,0.688,0,0.484,0.547,0,0.500,0,0
makesmemad,0.688,0,0,0,0,0,0,0
infanticide,0.688,0.320,0.836,0.609,0,0,0,0
domination,0.688,0,0,0.566,0,0.469,0,0
peeved,0.688,0,0,0,0,0,0,0
imprisonment,0.688,0,0.602,0.750,0,0.672,0,0
curse,0.688,0,0.430,0.578,0,0.608,0,0
volatility,0.687,0.422,0,0.578,0,0,0.695,0
eradication,0.685,0,0.516,0.828,0,0,0,0
eradicate,0.682,0,0,0,0,0,0,0
tantrum,0.682,0,0,0,0,0,0,0
scoundrel,0.682,0,0.562,0.641,0,0,0,0.117
devastate,0.682,0,0,0.792,0,0.797,0,0
aggressively,0.680,0,0,0,0,0,0,0
agitation,0.680,0,0,0,0,0,0,0
dictatorship,0.676,0.234,0.672,0.734,0,0.509,0,0
irritates,0.676,0,0,0,0,0,0,0
profanity,0.673,0,0,0,0,0,0,0
shove,0.672,0,0,0,0,0,0,0
nasty,0.672,0,0.703,0.466,0,0.484,0,0
shot,0.672,0,0,0.734,0,0.547,0.711,0
cruelly,0.672,0,0,0.658,0,0,0,0
shoot,0.672,0,0,0.734,0,0,0,0
condemnation,0.672,0.391,0.547,0.637,0,0.754,0,0
crushed,0.672,0,0.352,0.812,0,0.703,0,0
aggravation,0.672,0,0.469,0,0,0,0,0
poisonous,0.672,0,0.656,0.812,0,0.641,0,0
egregious,0.672,0,0.570,0,0,0,0,0
crime,0.672,0,0,0.719,0,0,0,0
corrupting,0.672,0,0.750,0.562,0,0.565,0,0
dastardly,0.672,0,0.625,0.641,0,0,0,0
contempt,0.672,0,0.484,0.359,0,0,0,0
harmful,0.672,0,0.562,0.797,0,0.578,0,0
expletive,0.672,0,0,0,0,0,0,0
wreak,0.672,0,0,0,0,0,0,0
maniac,0.670,0,0,0.781,0,0,0,0
cutthroat,0.667,0,0,0.664,0,0,0,0
enemy,0.667,0,0.562,0.625,0,0,0,0
hit,0.667,0,0,0,0,0,0,0
hateeveryone,0.667,0,0,0,0,0,0,0
eruption,0.667,0,0,0.672,0,0,0.883,0
irritable,0.667,0,0,0,0,0,0,0
odious,0.667,0,0.555,0.500,0,0,0,0
shooting,0.667,0,0,0.812,0,0.688,0,0
shout,0.667,0,0,0,0,0,0.641,0
aggressive,0.667,0,0,0.703,0,0,0,0
kick,0.667,0,0,0,0,0,0,0
combat,0.667,0,0,0.728,0,0,0,0
fight,0.667,0,0,0.719,0,0,0,0
punished,0.662,0.406,0.391,0.641,0,0.672,0,0
yell,0.661,0,0,0.438,0,0,0.695,0
ambush,0.661,0,0,0.688,0,0,0.883,0
harass,0.659,0,0.586,0,0,0,0,0
malignant,0.656,0,0,0.734,0,0,0,0
aggressor,0.656,0,0,0.812,0,0,0,0
gore,0.656,0,0.828,0.734,0,0.609,0,0
destruction,0.656,0,0,0.797,0,0,0,0
grudge,0.656,0,0,0,0,0,0,0
antichrist,0.656,0,0.680,0.641,0,0,0,0
incense,0.656,0,0,0,0.234,0,0,0
expel,0.656,0,0.391,0.438,0,0.414,0,0
cranky,0.653,0,0,0,0,0,0,0
slave,0.652,0,0,0.531,0,0.797,0,0
reprisal,0.652,0,0,0.766,0,0.484,0,0
growl,0.652,0,0,0.516,0,0,0,0
animosity,0.652,0,0.484,0.469,0,0.438,0,0
insurrection,0.652,0,0,0,0,0,0,0
clashing,0.652,0,0,0.578,0,0,0,0
denounce,0.652,0,0.430,0,0,0,0,0
offended,0.652,0,0,0,0,0.500,0,0
spank,0.652,0,0,0.587,0,0.403,0,0
insulting,0.652,0,0.461,0.435,0,0.391,0,0
growls,0.649,0,0,0,0,0,0,0
executioner,0.644,0,0,0.859,0,0.667,0,0
twat,0.644,0,0,0,0,0,0,0
doomsday,0.643,0.500,0.633,0.828,0,0.750,0,0
obscenity,0.641,0,0.625,0,0,0,0,0
accused,0.641,0,0,0.469,0,0,0,0
feud,0.641,0,0,0,0,0,0,0
daemon,0.641,0,0.516,0.625,0,0.391,0.484,0
havoc,0.641,0,0,0.719,0,0,0,0
shackle,0.641,0.289,0.500,0.609,0,0.609,0,0
inexcusable,0.641,0,0.484,0,0,0.379,0,0
indignant,0.641,0,0,0,0,0,0,0
grr,0.641,0,0,0,0,0,0,0
expulsion,0.641,0,0.578,0.547,0,0.469,0,0
bombard,0.641,0,0,0.740,0,0,0,0
spat,0.641,0,0,0,0,0,0,0
arson,0.641,0,0,0.794,0,0,0,0
reprimand,0.641,0,0,0,0,0,0,0
somad,0.637,0,0,0,0,0,0,0
frustrated,0.636,0,0,0,0,0,0,0
batter,0.636,0,0,0.453,0,0,0,0
kicking,0.636,0,0,0,0,0,0,0
anarchy,0.636,0,0,0.750,0,0,0,0
spanking,0.636,0,0,0,0,0,0,0
glaring,0.636,0,0,0,0,0,0,0
suicidal,0.636,0,0.695,0.898,0,0.941,0,0
disgusting,0.636,0,0.703,0.484,0,0,0,0
wound,0.636,0,0,0.571,0,0.625,0,0
hanging,0.636,0,0.531,0.641,0,0.547,0,0
poisoned,0.636,0,0.711,0.886,0,0.667,0,0
combatant,0.636,0,0,0.672,0,0,0,0
wrecked,0.633,0,0,0.703,0,0.625,0,0
inflict,0.633,0,0,0.562,0,0.531,0,0
grievous,0.632,0,0,0.516,0,0.704,0,0
prosecute,0.630,0,0,0.609,0,0.500,0,0
agitated,0.630,0,0,0,0,0,0,0
cheat,0.630,0,0.508,0,0,0,0,0
swastika,0.627,0,0,0.531,0,0,0,0
injure,0.625,0,0,0.625,0,0.609,0,0
indict,0.625,0,0,0.469,0,0,0,0
scourge,0.625,0,0,0.609,0,0.641,0,0
provocation,0.625,0,0,0,0,0,0,0
suffocation,0.625,0,0,0.875,0,0,0,0
strife,0.625,0,0,0,0,0,0,0
raid,0.625,0,0,0.600,0,0,0.773,0
enslaved,0.625,0,0.836,0.781,0,0.828,0,0
cursing,0.625,0,0.430,0,0,0,0,0
defamatory,0.625,0,0,0,0,0,0,0
harassing,0.625,0,0,0,0,0,0,0
thundering,0.625,0,0,0.625,0,0,0,0
betray,0.625,0,0.516,0,0,0.594,0.602,0
arsehole,0.624,0,0,0,0,0,0,0
theft,0.621,0,0.500,0.531,0,0.531,0,0
insane,0.621,0,0,0.656,0,0,0,0
retaliation,0.621,0,0,0.641,0,0,0,0
irritate,0.621,0,0,0,0,0,0,0
deprivation,0.621,0,0.602,0.578,0,0.672,0,0
fiend,0.621,0,0.578,0.484,0,0,0,0
jerk,0.621,0,0,0,0,0,0.562,0
convict,0.621,0,0.516,0.594,0,0.469,0,0
cussed,0.619,0,0,0,0,0,0,0
turmoil,0.618,0,0,0.733,0,0.578,0,0
smack,0.615,0,0,0,0,0,0,0
